_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo
27	131	現場で通用する力を身につけるiPhoneアプリ開発の教科書	ゲンバ デ ツウヨウスル チカラ オ ミニツケル アイフォーン アプリ カイハツ			9784839948290	森巧尚	モリ,ヨシナオ	マイナビ出版	単行本			2014年01月	3229	http://books.rakuten.co.jp/rb/12649121/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12649121%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12649121%26surl%3Dbook				2016/10/19 23:22:07	
28	7	楽譜が読める！音楽記号事典	ガクフ ガ ヨメル オンガク キゴウ ジテン			9784816344008	斎藤純一郎	サイトウ,ジュンイチロウ	ナツメ社	単行本			2007年10月	1944	http://books.rakuten.co.jp/rb/4982076/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4982076%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D4982076%26surl%3Dbook				2016/10/19 23:23:03	
29	131	やさしいJava第5版	ヤサシイ ジャバ			9784797374766	高橋麻奈	タカハシ,マナ	SBクリエイティブ	単行本			2013年08月31日	2808	http://books.rakuten.co.jp/rb/12432919/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12432919%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12432919%26surl%3Dbook				2016/10/19 23:23:49	
30	8	由利公正	ユリ キミマサ			9784591147221	加来耕三/井手窪剛	カク,コウゾウ/イデクボ,ゴウ	ポプラ社	全集・双書	コミック版日本の歴史	コミックバン ニホン ノ レキシ	2015年11月18日	1080	http://books.rakuten.co.jp/rb/13430350/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13430350%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13430350%26surl%3Dbook				2016/10/19 23:24:45	
31	8	戦国人物伝　本多忠勝	センゴクジンブツデンホンダタダカツ			9784591151334	加来　耕三/井出窪　剛	カクコウゾウ/イデクボゴウ	ポプラ社	全集・双書	コミック版　日本の歴史	コミックバンニホンノレキシ	2016年09月09日	1080	http://books.rakuten.co.jp/rb/14380410/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14380410%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14380410%26surl%3Dbook				2016/10/19 23:24:55	
32	8	真田昌幸	サナダ マサユキ			9784591149300	加来耕三/安戸ひろみ	カク,コウゾウ/アンコ,ヒロミ	ポプラ社	全集・双書	コミック版日本の歴史	コミックバン ニホン ノ レキシ	2016年03月10日	1080	http://books.rakuten.co.jp/rb/13836031/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13836031%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13836031%26surl%3Dbook				2016/10/19 23:25:13	
33	8	北条早雲	ホウジョウ ソウウン			9784591145548	加来耕三/静霞薫	カク,コウゾウ/シズカ,カオル	ポプラ社	全集・双書	コミック版日本の歴史	コミックバン ニホン ノ レキシ	2015年06月	1080	http://books.rakuten.co.jp/rb/13275507/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13275507%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13275507%26surl%3Dbook				2016/10/19 23:25:15	
34	131	ホームページ辞典第5版	ホームページ ジテン			9784798125190	アンク	アンク	翔泳社	単行本			2012年03月	2160	http://books.rakuten.co.jp/rb/11554268/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11554268%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D11554268%26surl%3Dbook				2016/10/19 23:25:37	
35	131	ネットワーク社会における情報の活用と技術3訂版	ネットワーク シャカイ ニ オケル ジョウホウ ノ カツヨウ ト ギジュツ			9784407320848	岡田正/高橋参吉	オカダ,タダシ/タカハシ,サンキチ	実教出版	単行本			2010年10月	2160	http://books.rakuten.co.jp/rb/6793535/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6793535%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D6793535%26surl%3Dbook			教科書	2017/03/09 21:53:49	
36	10	氷菓（1）	ヒョウカ			9784041202708	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	角川書店	コミック	カドカワコミックスA	カドカワ コミックス エース	2012年04月	604	http://books.rakuten.co.jp/rb/11609076/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11609076%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D11609076%26surl%3Dbook			古本	2016/10/23 07:54:08	
37	10	氷菓（2）	ヒョウカ			9784041202715	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	角川書店	コミック	カドカワコミックスA	カドカワ コミックス エース	2012年08月	604	http://books.rakuten.co.jp/rb/11779387/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11779387%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D11779387%26surl%3Dbook			古本	2016/10/23 07:54:14	
38	1	となりの関くん（8）	トナリ ノ セキクン			9784040678658	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2015年12月22日	648	http://books.rakuten.co.jp/rb/13457752/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13457752%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13457752%26surl%3Dbook				2016/10/22 16:13:18	
39	10	氷菓（3）	ヒョウカ			9784041202722	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	角川書店	コミック	カドカワコミックスAエース	カドカワ コミックス エース	2013年01月	604	http://books.rakuten.co.jp/rb/12139071/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12139071%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12139071%26surl%3Dbook			古本	2016/10/23 07:54:20	
40	10	氷菓（4）	ヒョウカ			9784041207406	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	角川書店	コミック	カドカワコミックスA	カドカワ コミックス エース	2013年06月26日	604	http://books.rakuten.co.jp/rb/12326418/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12326418%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12326418%26surl%3Dbook			古本	2016/10/23 07:54:26	
41	10	氷菓（6）	ヒョウカ			9784041210963	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	KADOKAWA	コミック	カドカワコミックスA	カドカワ コミックス エース	2014年04月	604	http://books.rakuten.co.jp/rb/12690169/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12690169%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12690169%26surl%3Dbook			古本	2016/10/23 07:56:54	
42	10	氷菓（7）	ヒョウカ			9784041017494	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	KADOKAWA	コミック	カドカワコミックスA	カドカワ コミックス エース	2014年07月	604	http://books.rakuten.co.jp/rb/12859417/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12859417%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12859417%26surl%3Dbook			古本	2016/10/23 09:00:37	
43	10	氷菓（8）	ヒョウカ			9784041017500	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	KADOKAWA	コミック	カドカワコミックスA	カドカワ コミックス エース	2015年01月26日	626	http://books.rakuten.co.jp/rb/13085318/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13085318%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13085318%26surl%3Dbook			古本	2016/10/23 09:00:43	
44	10	氷菓（9）	ヒョウカ			9784041035887	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	KADOKAWA	コミック	カドカワコミックスA	カドカワ コミックス エース	2015年08月26日	626	http://books.rakuten.co.jp/rb/13322046/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13322046%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13322046%26surl%3Dbook			古本	2016/10/23 09:00:56	
45	10	氷菓（10）	ヒョウカ			9784041035894	米澤穂信/タスクオーナ	ヨネザワ,ホノブ/タスクオーナ	KADOKAWA	コミック	カドカワコミックスA	カドカワ コミックス エース	2016年07月22日	626	http://books.rakuten.co.jp/rb/14271764/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14271764%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14271764%26surl%3Dbook			古本	2016/10/23 09:01:02	
46	19	WORKING！！（1）	ワーキング			9784757515772	高津カリノ	タカツ,カリノ	スクウェア・エニックス	コミック	ヤングガンガンコミックス	ヤング ガンガン コミックス	2005年11月25日	514	http://books.rakuten.co.jp/rb/3690695/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3690695%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D3690695%26surl%3Dbook			古本	2016/10/23 22:21:33	
